section,symbol,full_model_planning_value,simplified_harness_value,description
Model priors,mu_0,0.0,synthetic default,Population logit prior mean
Model priors,tau_0,2.0,synthetic default,Population logit prior std
Model priors,sigma_delta,0.5,code-specific synthetic shift,Sample shift std
Model priors,sigma_eta,0.8,empirical-Bayes proxy,Local latent std
Model priors,kappa,20.0,not full Beta-Binomial,Concentration
Regularization,beta_VIB,tune on validation,0.3 in stress test,VIB weight
Regularization,lambda_cf,tune on validation,not implemented,Counterfactual penalty
Regularization,lambda_mQTL,tune on validation,synthetic proxy,mQTL anchor weight
Regularization,lambda_ToO,tune on validation,proxy deconvolution,Tissue loss weight
Architecture,d_c,128,not used directly,Encoder hidden dim
Architecture,L_e,2,not implemented,ISAB layers
Architecture,m,64,not implemented,ISAB inducing points
Architecture,K flow,6,Gaussian posterior,NSF depth
Optimization,LR encoder,0.001,not applicable,AdamW
Optimization,|B_s|,8,full synthetic set,Sample mini-batch
Optimization,|B_l|,4096,L=300,Locus mini-batch
