tissue,FinaleMe-binarized + QP,Continuous lstsq,HAVI-Methyl Dirichlet head,HDP-truncated (T_max=64),havi_minus_lstsq
Adipocytes,0.037321,0.027769,0.016638,0.034173,0.011132
Bladder-Ep,0.037811,0.028135,0.016827,0.035806,0.011308
Blood-B,0.037912,0.028202,0.016686,0.037169,0.011516
Blood-Granul,0.037836,0.028276,0.017050,0.036214,0.011226
Blood-Mono+Macro,0.037996,0.028360,0.016866,0.037187,0.011494
Blood-NK,0.038229,0.028350,0.016882,0.035832,0.011468
Blood-T,0.038120,0.028401,0.016938,0.039223,0.011463
Breast-Basal-Ep,0.038135,0.028234,0.016874,0.035404,0.011360
Breast-Luminal-Ep,0.037999,0.028305,0.016957,0.036544,0.011349
Colon-Ep,0.037697,0.028187,0.016833,0.033858,0.011353
Endothel,0.037664,0.027995,0.016486,0.035522,0.011509
Epid-Kerat,0.038091,0.028420,0.017082,0.037948,0.011338
Eryth-prog,0.037269,0.027813,0.017071,0.040144,0.010741
Fallopian-Ep,0.037934,0.028207,0.016845,0.037662,0.011362
Gastric-Ep,0.038291,0.028458,0.016954,0.037414,0.011505
Head-Neck-Ep,0.037994,0.028305,0.016915,0.035481,0.011390
Heart-Cardio,0.038039,0.028373,0.016951,0.035568,0.011422
Heart-Fibro,0.037781,0.028135,0.016964,0.035370,0.011170
Kidney-Ep,0.038100,0.028259,0.016832,0.036007,0.011428
Liver-Hep,0.037978,0.028313,0.016872,0.036082,0.011440
Lung-Ep-Alveo,0.038072,0.028068,0.016746,0.035438,0.011323
Lung-Ep-Bron,0.037731,0.028062,0.016983,0.034657,0.011080
Neuron,0.037553,0.028076,0.016973,0.035368,0.011104
Oligodend,0.037939,0.027970,0.016691,0.035584,0.011278
Ovary-Ep,0.037987,0.028321,0.016868,0.036977,0.011453
Pancreas-Acinar,0.038162,0.028159,0.016763,0.037325,0.011396
Pancreas-Alpha,0.037763,0.028017,0.016777,0.035016,0.011240
Pancreas-Beta,0.037853,0.028285,0.017344,0.035494,0.010941
Pancreas-Delta,0.037819,0.028100,0.016816,0.035148,0.011284
Pancreas-Duct,0.037931,0.028308,0.016912,0.034861,0.011396
Megakaryocytes,0.038050,0.028255,0.016812,0.038605,0.011444
Prostate-Ep,0.037825,0.028121,0.016873,0.037656,0.011248
Skeletal-Musc,0.037517,0.027849,0.016775,0.036837,0.011074
Small-Int-Ep,0.037970,0.028025,0.016845,0.037236,0.011180
Smooth-Musc,0.037946,0.027796,0.016480,0.036194,0.011315
Thyroid-Ep,0.038015,0.028316,0.016818,0.035886,0.011498
